top_places_,mentions,total_number_of_views,year
Thailand,92,125362547.0,2018
Pakistan,17,103972401.0,2018
Bangkok,64,90442073.0,2018
Mexico,40,82375702.0,2018
Ghana,10,48081699.0,2018
Philippines,71,46447584.0,2018
Mexico city,22,44947835.0,2018
Los angeles,20,44865182.0,2018
California,24,37526411.0,2018
Kenya,15,33420658.0,2018
India,43,29439905.0,2018
Arizona,13,29315141.0,2018
United states,15,28991798.0,2018
Ethiopia,11,28094424.0,2018
Taylor,2,23845643.0,2018
Karachi,6,23826875.0,2018
Phoenix,4,23280709.0,2018
Justin,2,23261034.0,2018
Uzbekistan,6,22572686.0,2018
Manila,25,20982896.0,2018
Canada,54,20636289.0,2018
Dubai,21,19763882.0,2018
Indonesia,36,19595875.0,2018
Spanish,50,19244853.0,2018
Nairobi,7,18371034.0,2018
Paris,14,18356809.0,2018
Japan,57,17499578.0,2018
Lahore,1,16860923.0,2018
Usa,13,16632682.0,2018
Texas,10,16457601.0,2018
Islamabad,3,16374782.0,2018
Italy,44,16262541.0,2018
English,43,16074466.0,2018
Addis ababa,5,15714183.0,2018
Tokyo,36,15445147.0,2018
Oaxaca,4,15421033.0,2018
Masala,4,13565520.0,2018
France,18,13355730.0,2018
Chanthaburi,3,13156229.0,2018
Scott,1,13142148.0,2018
Georgia,15,13079585.0,2018
Jeffrey,4,12793863.0,2018
Venice,14,12650511.0,2018
Hawaii,8,12548526.0,2018
Peshawar,1,12459036.0,2018
Grand canyon,4,12236946.0,2018
China,16,11551424.0,2018
Arab,9,11084137.0,2018
Istanbul,14,10669644.0,2018
Gilgit-baltistan,2,10553408.0,2018
Finland,10,10493652.0,2018
Washington,11,10451385.0,2018
Egypt,12,10424955.0,2018
Hong kong,14,10312148.0,2018
Beverly hills,3,10009655.0,2018
Michael,19,9997973.0,2018
Mayo,9,9527698.0,2018
Chiang mai,12,9467223.0,2018
Missouri,1,9203524.0,2018
Jay,1,9047251.0,2018
Andrew,3,8985349.0,2018
Panama,15,8631365.0,2018
Seattle,8,8147432.0,2018
Khyber pakhtunkhwa,1,7996864.0,2018
Mardan,1,7996864.0,2018
Kabul,1,7996864.0,2018
Spain,23,7928609.0,2018
Hungary,4,7696952.0,2018
Rwanda,5,7680773.0,2018
Hannah,1,7620939.0,2018
Baku,3,7556550.0,2018
Azerbaijan,3,7556550.0,2018
Aztec,1,7476899.0,2018
Texcoco,1,7476899.0,2018
Mumbai,12,7236073.0,2018
Portugal,23,7227037.0,2018
Mombasa,2,6995730.0,2018
United arab emirates,7,6957483.0,2018
Ferrari,1,6872817.0,2018
Sacramento,1,6597140.0,2018
Khan,2,6365628.0,2018
Yucatan,4,6363033.0,2018
Delhi,9,6310946.0,2018
Turkey,14,6204151.0,2018
Detroit,2,6118592.0,2018
Seoul,9,6021535.0,2018
Midnight,7,6001868.0,2018
Gilgit,1,5949887.0,2018
Kyrgyzstan,8,5935273.0,2018
Dave,5,5815936.0,2018
Katy,9,5812329.0,2018
Kigali,2,5809460.0,2018
Persia,10,5795219.0,2018
San diego,5,5765902.0,2018
Honolulu,2,5746160.0,2018
Kuala lumpur,7,5716171.0,2018
Lilongwe,2,5714590.0,2018
Quintana roo,3,5681588.0,2018
Barcelona,3,5606035.0,2018
Peru,34,5500995.0,2018
Germany,16,5480516.0,2018
Spring,1,5442646.0,2018
Morocco,14,5431204.0,2018
Nine,3,5375151.0,2018
Jaipur,3,5254938.0,2018
Singapore,8,5185951.0,2018
Damascus,2,5064457.0,2018
West covina,1,5051126.0,2018
Cape coast,1,5037707.0,2018
Tanaka,1,4932160.0,2018
Barry,1,4932160.0,2018
Stanford,1,4906680.0,2018
