Categoria: Todas as categorias

Semana,Bangkok: (Todo o mundo)
2018-01-07,99
2018-01-14,99
2018-01-21,90
2018-01-28,95
2018-02-04,85
2018-02-11,85
2018-02-18,87
2018-02-25,84
2018-03-04,86
2018-03-11,84
2018-03-18,81
2018-03-25,83
2018-04-01,83
2018-04-08,75
2018-04-15,77
2018-04-22,78
2018-04-29,80
2018-05-06,75
2018-05-13,74
2018-05-20,77
2018-05-27,75
2018-06-03,75
2018-06-10,76
2018-06-17,76
2018-06-24,76
2018-07-01,78
2018-07-08,82
2018-07-15,79
2018-07-22,83
2018-07-29,86
2018-08-05,85
2018-08-12,83
2018-08-19,79
2018-08-26,76
2018-09-02,79
2018-09-09,73
2018-09-16,76
2018-09-23,75
2018-09-30,75
2018-10-07,78
2018-10-14,76
2018-10-21,79
2018-10-28,80
2018-11-04,78
2018-11-11,88
2018-11-18,84
2018-11-25,80
2018-12-02,87
2018-12-09,80
2018-12-16,88
2018-12-23,90
2018-12-30,100
