Categoria: Todas as categorias

Semana,Japan: (Todo o mundo)
2019-01-06,70
2019-01-13,69
2019-01-20,66
2019-01-27,70
2019-02-03,65
2019-02-10,68
2019-02-17,69
2019-02-24,65
2019-03-03,68
2019-03-10,66
2019-03-17,70
2019-03-24,69
2019-03-31,70
2019-04-07,67
2019-04-14,68
2019-04-21,68
2019-04-28,70
2019-05-05,63
2019-05-12,65
2019-05-19,66
2019-05-26,72
2019-06-02,67
2019-06-09,71
2019-06-16,74
2019-06-23,74
2019-06-30,71
2019-07-07,66
2019-07-14,71
2019-07-21,75
2019-07-28,70
2019-08-04,66
2019-08-11,69
2019-08-18,66
2019-08-25,67
2019-09-01,70
2019-09-08,70
2019-09-15,78
2019-09-22,78
2019-09-29,73
2019-10-06,100
2019-10-13,96
2019-10-20,82
2019-10-27,72
2019-11-03,69
2019-11-10,69
2019-11-17,71
2019-11-24,65
2019-12-01,68
2019-12-08,67
2019-12-15,66
2019-12-22,67
2019-12-29,71
