Categoria: Todas as categorias

Semana,New Zealand: (Todo o mundo)
2021-01-03,26
2021-01-10,6
2021-01-17,6
2021-01-24,7
2021-01-31,6
2021-02-07,6
2021-02-14,7
2021-02-21,27
2021-02-28,25
2021-03-07,11
2021-03-14,9
2021-03-21,16
2021-03-28,19
2021-04-04,7
2021-04-11,6
2021-04-18,6
2021-04-25,6
2021-05-02,6
2021-05-09,6
2021-05-16,5
2021-05-23,5
2021-05-30,27
2021-06-06,26
2021-06-13,51
2021-06-20,99
2021-06-27,6
2021-07-04,6
2021-07-11,6
2021-07-18,7
2021-07-25,7
2021-08-01,6
2021-08-08,6
2021-08-15,7
2021-08-22,6
2021-08-29,13
2021-09-05,15
2021-09-12,9
2021-09-19,9
2021-09-26,6
2021-10-03,6
2021-10-10,5
2021-10-17,13
2021-10-24,24
2021-10-31,49
2021-11-07,37
2021-11-14,74
2021-11-21,88
2021-11-28,100
2021-12-05,39
2021-12-12,6
2021-12-19,5
2021-12-26,8
