Categoria: Todas as categorias

Semana,Philippines: (Todo o mundo)
2018-01-07,89
2018-01-14,91
2018-01-21,92
2018-01-28,88
2018-02-04,83
2018-02-11,82
2018-02-18,84
2018-02-25,86
2018-03-04,84
2018-03-11,83
2018-03-18,84
2018-03-25,72
2018-04-01,81
2018-04-08,79
2018-04-15,82
2018-04-22,80
2018-04-29,79
2018-05-06,82
2018-05-13,78
2018-05-20,80
2018-05-27,78
2018-06-03,87
2018-06-10,85
2018-06-17,87
2018-06-24,86
2018-07-01,95
2018-07-08,91
2018-07-15,87
2018-07-22,89
2018-07-29,88
2018-08-05,89
2018-08-12,90
2018-08-19,86
2018-08-26,82
2018-09-02,91
2018-09-09,100
2018-09-16,90
2018-09-23,82
2018-09-30,84
2018-10-07,87
2018-10-14,83
2018-10-21,81
2018-10-28,79
2018-11-04,80
2018-11-11,86
2018-11-18,84
2018-11-25,83
2018-12-02,91
2018-12-09,78
2018-12-16,85
2018-12-23,74
2018-12-30,82
