,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,caption
0,wLSyTqAzUMc,Backpacking Bananas,Copacabana & Isla Del Sol 🇧🇴 Backpacking Bolivia Travel Vlog,"My final stop in Bolivia is Copacabana! Situated still at a very high altitude (🙄lol) on Lake Titicaca. I stayed at Hostal Florencia and met Harry and Tori and together we took a boat to Isla Del Sol and hiked over 10km across the island, visiting the ruins along the way. It was a fantastic day out but challenging with the altitude!

MORE VIDEOS IN BOLIVIA - https://youtube.com/playlist?list=PL2eiBxCh0xIpwH0zHveY2h-2GdweslHhw

SHOP 🛍
💻 My Digital Products - https://backpackingbananas.com/shop
👚 My Clothing Line - https://backpackingsolo.shop
🎒 My Backpacking Essentials - https://www.amazon.co.uk/shop/backpackingbananas?listId=2LTLUM5AAKDBK&ref=cm_sw_em_r_inf_list_pub_backpackingbananas_dp_geaSJM8DG9btM
🎥 My Vlogging Equipment - https://www.amazon.co.uk/shop/backpackingbananas?listId=2W51F3CN29QKS&ref=cm_sw_em_r_inf_list_pub_backpackingbananas_dp_BmZRBB3bWdbbp
🖥 My Home Office Set-Up - https://www.amazon.co.uk/shop/backpackingbananas?listId=3AUCF1MY00AQ&ref=cm_sw_em_r_inf_list_pub_backpackingbananas_dp_xjXO6bNbKauUX

DEALS 🤑
🇦🇺 Get $50 off https://welcometo.travel Melbourne and Sydney tours using code BB50.
🔒 Get latest Surfshark VPN deal using code BACKPACKING.
🌏Get $10 off Worldpackers memberships using my code BACKPACKINGBANANAS. https://www.worldpackers.com/promo/BACKPACKINGBANANAS?utm_campaign=BACKPACKINGBANANAS&utm_medium=referral&utm_source=affiliate

JOIN 🌎
💌 Banana Newsletter - https://www.backpackingbananas.com
⌨️ Backpackers Forum - https://backpackingbananas.com/forum
🗺 Group Trips - https://www.backpackingbananas.com/pakistan-2021

SUPPORT 🥰 
☕️ Buy me a coffee - https://buymeacoff.ee/christianne
👍🏽 Or simply Like, Comment, Share my videos and Subscribe
(it's your support that allows me to continue creating quality content for this channel, thank you so much in advance ❤️)

📷 Instagram: https://www.instagram.com/christiannerisman
⏰ TikTok: https://www.tiktok.com/@christiannerisman0?lang=en

ABOUT ME🙋🏻‍♀️
I'm Christianne, a solo traveller, vlogger and entrepeneur from Surrey, UK. I spend half my time exploring new places around the globe with my backpack, and the other half creating videos about my experiences, what I'm packing, solo travel advice, money budgeting tips and anything else in relation to my backpacking lifestyle. 
Get to know me more here - https://www.backpackingbananas.com/about

FAQ's
How do you afford to travel? - I now earn a full time living through creating these YouTube videos, affiliate links, selling digital products and my clothing line. I used to simply just work any temporary job I could find to save up to travel! I budget the money I earn meticulously to reach my savings goals using https://www.backpackingbananas.com/product-page/life-budget-tracker-uk-self-assessment-version
Is travelling solo safe? - I would argue the answer is almost always yes! As long as you use your common sense and you follow your own government's guidelines about travelling in that country. I have made several videos on backpacking safety on my channel.
Do you have plans to settle down? Yes, I'm currently saving to purchase my first property in the UK and I'd love to have children one day. I doubt I'll ever live a completely 'conventional' lifestyle by society's standards though, as I often have my own preferred way of doing things.

CONTACT 📧
If you have a question about travel, join the backpackers forum! https://backpackingbananas.com/forum
EMAIL: Business enquiries only please - hello@backpackingbananas.com

Some of the links in the description are affiliate links that I get a small kickback from.","['gap year ideas', 'gap year travel', 'travel tips', 'travel guide', 'budget travel', 'backpacking solo', 'solo female travel', 'uk travel vlogger', 'Backpacking bolivia', 'bolivia travel vlog', 'how to travel bolivia', 'copacabana bolivia', 'lake titicaca', 'isla del sol hike', 'challapampa to yumani', 'hiking on isla del sol', 'isla del sol copacabana', 'how high is copacabana', 'how to travel isla del sol', 'isla del sol lake titicaca', 'lago de titicaca', 'backpacking copacabana', 'copacabana travel vlog']",2022-11-22T15:15:04Z,8058,498,,38,PT13M37S,false
1,UdpRM5zEoBw,BEYOND THE TRIP - Viaggio a Tempo Indeterminato,E ALLA FINE ARRIVA LA FREGATURA 🌏 Prima o poi doveva succedere,"🚙Ep. 312 - Arriviamo a Dwarka senza aspettative. Scopriamo un'interessantissima cittadina di mare che però, durante in Diwali, si trasforma.
_________________
🌏 Ti aspettiamo su Patreon: https://www.patreon.com/beyondthetrip

♥️SUPPORTACI con una pizza 🍕 https://www.paypal.me/beyondtt

👕LE NOSTRE MAGLIETTE: https://bthetrip.hoplix.shop
_________________
💡ISCRIVITI AL CANALE e attiva la campanella per non perderti neanche un video. http://bit.ly/SUBbeyondthetrip
_________________
Un grazie di ♥️ a tutti i nostri Patreon e in particolare a:
Franca Ranocchi
Marco Galli
Paolinoooooo
Marco Guinzoni
Fabrizio Nicosia
_________________
I nostri suggerimenti per viaggiare:
➡50€ DI SCONTO per aprire la tua P. IVA con Fiscozen: www.fiscozen.it/invito37636
➡La nostra guida cartacea per viaggiare con 10€ al giorno: http://amzn.to/2JcxF8A
➡Assicurazione di viaggio Low Cost: https://www.beyondthetrip.net/2020/02/13/assicurazione-viaggio-low-cost/

🌏Siamo Angela e Paolo di Beyond The Trip e siamo partiti a gennaio 2018 per il nostro VIAGGIO A TEMPO INDETERMINATO. 
La sfida è riuscire a viaggiare con un BUDGET DI 10€ a testa al giorno.

Seguici anche:
• Sul nostro BLOG: http://www.beyondthetrip.net
• FB: https://www.facebook.com/beyondthetrip/
• Instagram: http://www.instagram.com/beyondthetrip

👉 Per info, consigli, progetti...contattaci: bthetrip@gmail.com

#roadtoasia #india #stress","['beyond the trip', 'angela e paolo viaggio', 'angela e paolo', 'angela e paolo beyond', 'vlog viaggio', 'stepsover', 'vanlife', 'italiani in viaggio', 'amici Stepsover', '10 euro al giorno', 'Viaggio a lungo termine', 'piaggio porter', 'minivan', 'miniminivan', 'van economico', 'camperizzazione van', 'yari ghidone', 'microvan', 'van', 'viaggiare in van', 'india', 'cosa vedere india', 'costo india', 'vivere in india', ""italiani all'estero"", 'Gujarat', 'problemi', 'problemi in viaggio', 'mare', 'spiagge', 'matrimonio']",2022-11-23T12:00:09Z,11078,1647,,80,PT25M30S,false
2,w9bfgLz9v6Q,DW Travel,What Tourists Love To Do in Berlin | Berlin Tourism after the Pandemic: Who comes and what for?,"What to do in Berlin? Fine dining or doner kebab? Strolling around or a guided tour? Visiting museums or famous landmarks? We show you what tourists love most in the German capital of Berlin! Have you ever been to Berlin?

CREDITS:
Report: Andreas Kirchhoff
Editing: Stephan Foest
-----------------------------------------------------------------------------------------------------------------------
Subscribe to DW Travel
youtube.com/dwtravel

Would you like to find out more about DW Travel? 
▸Website: dw.com/travel
▸Facebook: facebook.com/dw.travel
▸Instagram: instagram.com/dw_travel

DW Travel is showing you the captivating world of travel. Come along with us to regions and cities in Germany, throughout Europe and to far-away destinations.

#berlin #germany #travelling","['things to do in berlin', 'visit berlin', 'berlin germany', 'berlin travel guide', 'berlin travel tips', 'what to do in berlin', 'berlin attractions', 'berlin tour', 'berlin must see', 'german capital', 'berlin food', 'east side gallery', 'berlin wall', 'berlin city', 'berlin vlog', 'travel video', 'travel guide', 'travel tips', 'best things to do in berlin', 'museum island berlin', 'berlin tourist attractions', 'berlin germany 2022', 'berlin tour guide', 'brandenburg gate', 'deutsche welle', 'dw travel', 'dw']",2022-11-23T14:00:36Z,2155,122,,10,PT8M7S,true
3,ruqnVKUquiE,Justin Tse,ITALY // My Ferrari Road Trip Experience in Florence 🇮🇹,"Beyond by Four Seasons - https://www.fourseasons.com/landing-pages/corporate/beyond-tuscany/
Canossa Events - https://canossa.com/four-seasons-takes-legendary-service-to-the-roadways-of-europe-with-beyond-by-four-seasons-an-exclusive-driving-journey-through-tuscany/
Skip the waitlist and invest in blue-chip art for the very first time by signing up for Masterworks: https://masterworks.art/justintse

SUBSCRIBE FOR MORE - http://bit.ly/JustinTse
Follow me on INSTAGRAM - http://instagram.com/Justin.Tse
My YouTube Business Course - https://www.creatorcashflow.com
Check out our Website - https://JustinTse.com/
TWITTER - https://twitter.com/JustinTse

Our experience with Beyond by Four Seasons, Four Seasons Firenze Hotel, and Canossa Events in a exclusive driving experience through Italy.  

Comment ""Tuscany"" if you see this! Thanks to Masterworks for sponsoring this video.

BUSINESS INQUIRIES - Justin@FeatureMedia.ca","['justin tse', 'Italy', 'Four seasons', 'Four seasons Firenze', 'Four seasons Florence', 'Florence Italy', 'Italy travel guide 2022', 'Italy travel guide', 'Ferrari', 'Ferrari road trip', 'Four seasons beyond', 'Four seasons jet', 'Four seasons experiences', 'Florence Italy guide', 'Italy cinematic film', 'Travel film', 'Luxury travel', 'Travel film 2022']",2022-11-22T21:54:10Z,11199,662,,28,PT13M55S,false
4,VZIAOBl49_8,Travel Trolls TV,We Found Paradise In SPAIN for Just £15!,"Our first walk on the beach in beautiful Spain as we head on to another campsite and enjoy a bit of English company for the first time since we got over here. For only £15 a night it really is a touch of paradise. Then we find a tin of Heinz Baked Beans!!

Check out Camping Valencia on Campy: https://campy.app/camp/1537296198004ES

Patreon:                                  https://rb.gy/ez9fho
Become A Family Member: https://rb.gy/43oyy4
Travel Trolls TV Shop:          https://rb.gy/ytkjv4
Support Us:                            https://rb.gy/ai8kef
Deep Digger Dan Channel:  https://rb.gy/2vcgby
Mazzy X Channel:                 https://rb.gy/soiurl
Email:                                      TravelTrollsTV@hotmail.com

PRODUCT WE USE
Rural Internet:                        https://rb.gy/vjobxi
SOK Lithium Batteries:         https://rb.gy/mijph9
MiRider E-Bike:                      https://rb.gy/ixhfxe

Please click like, share, leave a comment and don’t forget to subscribe.

#motorhomespain #vanlifespain #travelspain","['motorhome spain', 'motor homing spain', 'winter in spain', 'spain travel', 'visit spain', 'tour of spain', 'england to spain', 'camper spanje', 'camper spagna', 'camping-car espagne', 'autocaravana espana', 'spain', 'aires in spain', 'spanish aires', 'spanish campsites', 'best spanish campsite', 'camper', 'autocaravana', 'camping-car', 'travel trolls', 'pucol', 'spain campsite']",2022-11-23T17:30:03Z,6554,654,,113,PT48M54S,false
5,hRpxiDCZj8E,touropia,23 Most Beautiful Caribbean Islands - Travel Video,"Renowned around the world for its beautiful beaches, gently swaying palms and tempting turquoise waters; the Caribbean is a lovely place to vacation. Many come to soak up the sun, splash about in the sea and enjoy its wonderful watersports. Its attractive archipelagos and islands boast some captivating cities with pristine nature reserves dotted about both on land and offshore. While many of its tropical islands are low-lying, some are volcanic in origin with rugged mountain ranges, rainforests and waterfalls coating their interior and colorful reefs lying offshore. Here’s a look at the most beautiful Caribbean islands:","['caribbean', 'caribbean travel', 'caribbean island', 'caribbean tourism', 'jamaica', 'st lucia', 'bonaire', 'aruba', 'Dominica', 'Puerto Rico', 'Martinique', 'bahamas', 'Grenada', 'Guadeloupe', 'cozumel', 'Dominican Republic', 'Cayman Islands', 'barbados', 'cuba', 'Curacao', 'Antigua']",2022-10-11T12:53:53Z,385633,2438,,169,PT29M52S,false
6,s1XoYkn3osE,Expedia,Barcelona Vacation Travel Guide | Expedia,"Barcelona – dive into the Catalan creativity that has defined the city and draws millions to its heart each year. After this video, you’ll see why!

#Barcelona is perhaps most famous for the masterpiece La Sagrada Familia and the other works of architect, Antonio Gaudi, strewn across the city. Be sure not to miss them, but keep in mind that this is a #vacation #destination with so much more on offer. A #trip to Barcelona means a stay in one of Europe’s great cities. 

From its world heritage sites to its sunlit beaches, and all the galleries and museums in between, Barcelona will keep you busy. Follow our journey through the beautiful Spanish city and note your favorite #attractions for when you start planning a trip of your own!

For now, we hope you enjoy watching this #travel #guide as much as we enjoyed making it. 

More travel information around Barcelona: 
https://www.expedia.com/Barcelona.dx179992

Subscribe to Expedia’s YouTube Channel for great travel videos and join the conversation on the best vacation ideas!

---------

Follow us on social media: 
FACEBOOK: https://www.facebook.com/expedia
TWITTER: https://twitter.com/Expedia
INSTAGRAM: https://instagram.com/expedia/
PINTEREST: https://www.pinterest.com/expedia

---------

0:00 - Barcelona
1:14 - Placa de Catalunya
1:33 - La Rambla
1:51 - Passeig de Gracia
2:28 - Barrio Gotico
2:42 - Barcino
2:51 - Barcelona Cathedral
3:10 - Saint Mary of the Sea
3:23 - Port Vell
3:40 - Maritime Museum
4:05 - Museum of the History of Catalonia
4:24 - Palace of Catalan Music
5:01 - La Boqueria
5:47 - European Museum of Modern Art
6:01 - National Art Museum of Catalonia
6:19 - Montjuic
6:28 - Montjuic Castle
7:05 - Barcelona Beach
7:51 - Sant Pau Hospital
8:33 - Casa Vicens
8:52 - Palau Guell
9:19 - Casa Batllo
10:00 - Casa Mila 
10:42 - Park Guell
11:03 - La Sagrada Familia","['cvg', 'vacation travel guide', 'where to go', 'places to visit', 'vacation package', 'vacation', 'things to do', 'travel barcelona', 'barcelona architecture', 'barcelona history', 'la sagrada familia', 'gaudi architecture', 'barcelona cathedral', 'barcelona museums', 'barcelona art garllery', 'park guell barcelona', 'spain', 'europe travel', 'barcelona vacation', 'travel to barcelona', 'things to do in Barcelona', 'where to go in barcelona']",2019-08-10T00:00:03Z,1348863,9725,,393,PT12M44S,true
7,eRCQcuJv_Qs,Travel With Wife,ELINA'S BIRTHDAY | 2 YEAR OLD BIRTHDAY PARTY 2022,"Hi Guys, our little girl Elina recently turned two and she got some lovely gifts for her birthday.. we can't believe our baby is such a big girl! 
Watch the video to peek into how her day went.. 
Thanks for watching

We hope you enjoyed this video as much as we enjoyed making!!

JOIN OUR FAMILY - http://tiny.cc/vlz0vz

🙋🏽‍♀️Let's be friends!
✘ Follow on Facebook : http://tiny.cc/TWWFB
✘ Follow on Instagram : http://tiny.cc/TWWIG
✘ Follow on TikTok : http://tiny.cc/TWWTIKTOK
✘ Telegram channel : http://tiny.cc/TWWTG
✘ Follow on Twitter : http://tiny.cc/TWWTwitter

You can listen to the Hi Travelers Podcast here 👇🏻
https://Podcast.travelwithwife.com

Using copyright-free music and sound effects 👇🏻
http://tiny.cc/epidemicsoundTWW
⚠ Register NOW 30 Days free UNLIMITED MUSIC with this link

© 2022 Copyrights are owned by Travel With Wife (PVT) LTD. 

#TravelWithWife


▶️ Who is Travel With Wife?  

We got married in 2018. Like everyone else, we earned our means through 9-5 jobs for years. Chamri was working in sales, and Kasun as a photographer. We both loved to travel. After years of working in corporate structures, we decided to start “Travel with Wife”, an idea we thought of during our first wedding anniversary trip, where we wanted to share the details of our trip with our friends and family. 
We soon fell in love with a travelers lifestyle and began our vlog, which was a turning point in our lives. We got to visit 5 countries, in addition to exploring the crevices of our beautiful island home, Sri Lanka ✈️. 

We toured until the pandemic confined us to our homes. In 2020, our travel princess Elina was born and joined our little travel family 👨‍👩‍👧. We can’t wait to start our travels again, with our new adventurer! We thank you for your consistent support and love, we can’t wait to show you everything we have planned!

❤️Support our travels ❤️️ https://bit.ly/3zh0ZnE","['Travel With Wife', 'Travel Couple', 'Sri Lanka', 'Sinhala Vlog', 'Travel Vlog', 'Elina Abhimantra', 'Travel Family', 'Chamari Kasun', 'hi travellers', 'happy birthday', ""elina's birthday"", '2nd birthday cake', 'toddler birthday party ideas', 'one galle face mall', 'kids play are', 'birthday cake', 'travel princess', 'ball pit', 'day in life']",2022-11-23T07:14:21Z,159106,9074,,1501,PT21M3S,false
8,7lvXbfNBIQg,touropia,25 Most Beautiful Destinations in Europe - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/most-beautiful-places-in-europe/

From Scandinavia's striking snow-coated scenery to the charming coastlines of the Mediterranean, Europe is full of diverse and dreamy landscapes that belie its relatively small size. While its world-class capitals of London, Paris, and Rome attract the most visitors, the continent's 44 countries each have delightfully different cities and attractions to explore.  With so many sublime sights and sensational scenery to see, visiting all of Europe's most beautiful destinations could take a lifetime.","['europe', 'europe travel', 'europe tourism', 'Picos de Europa', 'Transfagarasan Highway', 'Lapland', 'pulpit rock', 'Dolomites', 'Lake Bled', 'meteora', 'Lauterbrunnen Valley', 'beautiful places']",2020-10-15T12:37:17Z,8171803,92528,,1488,PT35M38S,true
9,c6Q24maetXs,Solo Travel Japan,Overnight Ferry Trip on the Rough Sea of Japan | Niigata to Hokkaido,"I took Shin Nihonkai Ferry from Niigata to Hokkaido Japan and tried Deluxe cabin. But the weather was terrible. The ferry was swaying, pitching and rocking heavily during night.

Suite on the sister ship, Lavender
https://youtu.be/Xstspzo6stg

Taking Taiheiyo Ferry in the stormy weather (typhoon)
Ep1
https://youtu.be/OfqLAHvXD6U
Ep2
https://youtu.be/TZISfmhiLBM

Thanks for watching","['solo travel japan', 'japan ferry', 'japan travel', 'shin nihonkai ferry', 'hokkaido ferry']",2022-11-20T21:30:03Z,53040,3146,,209,PT32M21S,false
