,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,caption
0,L5JORXmV_A0,touropia,10 Best Places to Visit in Spain - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-spain/ 

Splendid beaches, delicious cuisine, vibrant nightlife and lively fiestas all make Spain one of Europe’s best getaways. Because Spain encompasses several autonomous regions and islands, the country boasts one of the most widely diverse cultures and landscapes on the continent. Here’s a look at the top places to visit in Spain:","['spain', 'spain travel', 'spain tourism', 'barcelona', 'madrid', 'mallorca', 'granada', 'cordoba', 'seville', 'santiago de compostela', 'San Sebastian', 'valencia', 'toledo']",2020-07-03T13:24:52Z,1850031,17287,,1007,PT16M41S,true
1,zTjnQ0XlAc4,touropia,10 Best Places to Visit in France - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-france/

For more than two decades, France has reigned as the world’s most popular tourist destination, receiving 82 million foreign tourists annual. People from all over the world are drawn to France’s sophisticated culture, dazzling landmarks, exquisite cuisine, fine wines, romantic chateaux and picturesque countryside. Here’s a look at the best places to visit in France:","['Marseille', 'Lyon', 'Paris', 'Cannes', 'Nice', 'Dordogne', 'Mont Saint-Michel', 'Bordeaux', 'Loire Valley', 'Top 10 France', 'France Travel', 'Best Places to Visit in France', 'France Places', 'France Tourism', 'France Cities', 'Strasbourg']",2018-09-21T11:43:39Z,1258382,17330,,1025,PT12M48S,true
2,0GZSfBuhf6Y,touropia,25 Best Places to Visit in Europe - Travel Europe,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-europe/

Although it is the world’s second smallest continent, Europe welcomes more than half of all the tourists worldwide. In fact, 7 of the 10 most visited countries in the world are European nations. It’s easy to see why; a well-preserved cultural heritage, rich history, safety and efficient infrastructure makes visiting Europe a breeze. Here’s a look at the best places to visit in Europe:","['europe travel', 'best places to visit in europe', 'europe attractions', 'europe tourism', 'places in europe', 'europe places', 'Vienna', 'stonehenge', 'rome', 'paris', 'london', 'venice', 'florence', 'amsterdam', 'neuschwanstein', 'Plitvice Lakes', 'budapest', 'Gullfoss', 'lisbon', 'barcelona', 'alhambra', 'athens', 'santorini', 'bay of kotor', 'kotor', 'moscow', 'monaco', 'monte carlo', 'Neuschwanstein Castle', 'prague', 'istanbul', 'Geirangerfjord', 'dubrovnik']",2019-06-11T13:56:59Z,9563730,74744,,3791,PT25M55S,true
3,IgAnj6r1O48,touropia,10 Best Places to Visit in India - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-india/

India is an enormous and diverse destination. Bordered by seven different countries, not to mention the Arabian Sea and the Bay of Bengal, means that there are many different sides to the country. More than 20 official languages, multiple religions and a variety of cuisines exist within India’s borders. To truly experience the breadth of Indian culture and history, travel is key. Here’s a look at the best places to visit in India:","['india places', 'best places to visit in india', 'india travel', 'india tourism', 'india attractions', 'agra', 'taj mahal', 'top 10 india', 'varanasi', 'udaipur', 'jaipur', 'Amritsar', 'ladakh', 'goa beaches', 'delhi', 'ellora caves', 'ajanta caves', 'kerala backwaters']",2019-05-09T10:06:27Z,5353223,54500,,5317,PT13M30S,true
4,kmJt1wViRXA,touropia,10 Best Places to Visit in North Carolina - Travel Video,"A state of many contrasts, North Carolina is home to beaches, forests and mountains with conservative towns and liberal-leaning cities tucked away amidst them. With epic outdoor activities and communities to explore and, of course, old-time Southern charm; the Tar Heel State is a fascinating place to visit. While its shoreline is home to lots of barrier islands, the Piedmont region is made up of rolling hills and fertile farms. In the west are the beautiful Blue Ridge Moutains which boast the highest peaks east of the Mississippi. Here’s a look at the best places to visit in North Carolina:","['north carolina', 'north carolina tourism', 'north carolina travel', 'carolina', 'Raleigh', 'Blue Ridge Parkway', 'Charlotte', 'Wilmington', 'Great Smoky Mountains', 'outer banks']",2022-11-18T11:56:26Z,45930,639,,65,PT12M55S,false
5,fQw_reiChaE,Joyous Travel,Amazing Places to Visit in Spain - Travel Video,"Spain has always been one of the favorite tourist places, not only in Europe... But also all over the world! The unique Spanish gastronomy, its sunny weather, and its diverse architecture are some of the reasons why this country attracts thousands of visitors every month! Would you like to get to know this destination? Here are ten places you must visit during your visit to Spain!

Chapters

00:00 Why visiting Spain 
0:47 Basilica of the Sagrada Familia, Barcelona
1:51 Park Güel, Barcelona
2:52 The Alhambra, Granada
4:04 The Puerta del Sol, Madrid
4:47 Prado Museum, Madrid
5:14 The City of Arts and Sciences, Valencia
5:58 Cap de Formentor, Mallorca
6:30 Cape Finistere, A Coruña
7:11 Caminito del Rey, Málaga
8:06 Aqueduct of Segovia, Segovia
8:50 Places to Visit in Spain

#Spain #Places #Travel","['best places', 'places', 'travel video', 'amazing places', 'Best Places to Visit', 'Places to Visit', 'spain', 'spain travel', 'spain tourism', 'barcelona', 'madrid', 'mallorca', 'granada', 'cordoba', 'seville', 'San Sebastian', 'valencia', 'Basilica of the Sagrada Familia', 'The Alhambra', 'Granada', 'Park Güel', 'The Puerta del Sol', 'Madrid', 'Prado Museum', 'Valencia', 'Cap de Formentor', 'Mallorca', 'Caminito del Rey', 'Málaga', 'Aqueduct of Segovia', 'Segovia', 'Places to Visit in Spain', 'virtual tours', 'Tourist destination']",2021-03-19T17:35:26Z,166475,1913,,79,PT9M35S,true
6,t14QjST-n28,Lexie Limitless,22 AMAZING Destinations for Budget Travel in 2022,"Add these SHOCKINGLY AFFORDABLE countries to your bucket list! Thanks to Google Arts and Culture for our recent collaborations. Check out this amazing playlist of videos we made together on their channel: https://www.youtube.com/watch?v=wA1fBatfOws&list=PLyLmRfmcUuxrJO0ll5WTwymNjPypJDOrx

Check out my daily adventures on Instagram: https://www.instagram.com/lexielimitless/

Sign up for my newsletter to get a preview of 3 CRAZY stories from my book: https://lexielimitless.com/newsletter/​

0:00 Subscribe
1:10 Mexico
3:04 Turkey
5:43 Google Arts and Culture
6:59 Vietnam
8:36 Laos
10:26 Thailand
12:21 Nepal
14:02 Georgia
15:24 Armenia
16:12 Bosnia and Herzegovina
17:21 Croatia
18:49 Greece
19:47 Poland
20:33 Kosovo
21:48 Colombia
23:07 Peru
24:20 Brazil
25:30 Bolivia
26:18 Costa Rica
27:38 Guatemala
29:16 Cuba
30:19 Morocco
32:20 South Africa
33:37 Subscribe


HOW I MAKE MY VIDEOS 🎥

My Video Editor: https://www.instagram.com/itsmelionel/

My Thumbnail Creator: https://www.instagram.com/parthcreations/

🎵Epidemic Sound! Amazing royalty free music for YouTube. Try your free 30 day trial here: http://share.epidemicsound.com/M9GTz

🎵 Elevate your videos with record-label quality music from Musicbed: http://share.mscbd.fm/LexieLimitless","['travel 2022', 'how to travel', 'best places to travel', 'what to do in turkey', 'mexico travel', 'solo female travel', 'vietnam', 'laos', 'thailand', 'affordable travel', 'how to travel solo', 'georgia', 'armenia', 'backpacking in south east asia', 'bucket list travels', 'Bosnia and Herzegovina']",2022-02-12T17:00:37Z,363478,8152,,460,PT34M6S,false
7,1-Q_imBTFBQ,Kevin Eassa,TOP 25 PLACES TO VISIT IN YOUR LIFETIME | The Ultimate Travel Bucket List,"The Ultimate Travel Bucket List. After having traveled to 50 countries, and doing more than a dozen cross country road trips, I compiled some of my favorite travel destinations in the world. These are my top 25 places in the world to visit in your lifetime!

Hope you enjoy! Please Like & Subscribe for more!  

Top 50 Hikes in the USA:
https://www.youtube.com/watch?v=y_xTDYBUkZQ

Top 25 Hikes in Colorado:
https://www.youtube.com/watch?v=KKeZPA-Gvs4&t=22s

Top 10 Places in Utah That Aren't National Parks:
https://www.youtube.com/watch?v=y36MFHuKeZc

Top 20 Places in Utah:
https://www.youtube.com/watch?v=syxsvczgxqA

Top 10 Places in Valley Of Fire, Nevada:
https://www.youtube.com/watch?v=6G8TWVhvAvE&t=33s

Top 10 Hikes in Sedona:
https://www.youtube.com/watch?v=wZE6T45PFOg&t=169s

Top 10 Hikes in Rocky Mountain National Park:
https://www.youtube.com/watch?v=YzpzLdGmb-8&list=PLm5v6ucfHAsOQKVdYc_-M2VwlVuPWDcA0&index=17&t=23s

Top 10 Hikes in Arches National Park:
https://www.youtube.com/watch?v=tGUWw8328Mc&list=PLm5v6ucfHAsOQKVdYc_-M2VwlVuPWDcA0&index=4

Shop Backcountry for the best outdoor gear!
https://bit.ly/3sXtsKr

If this is your first time to the channel, welcome! Subscribe if you would like to follow our van adventures. You can expect lots of aerial films, hiking videos, informative vlogs about van life and living on the road, and much more!

Created by: Kevin Eassa Media
Edited by: Scott Christie @scott.christie & myself
Featuring: Bri Amato, Hayden Lynch, Danny Mcgee, Brian David, David Rule

Website:
https://www.kevineassa.com/​​​​​​​

Prints:
https://kevineassa.darkroom.tech/​​​​​​​

My Equipment:
https://www.amazon.com/shop/kevineassa

Let's Connect!
IG: @kevineassa
TikTok: @kevineassa
FB: Kevin Eassa Photo
www.kevineassa.com

For business inquiries and licensing requests: kevineassa@gmail.com","['travel', 'travel bucket list', 'bucket list', 'travel bucket list ideas', 'bucket list ideas', 'best country in the world', 'best places to travel in 2022', 'adventure', 'explore', 'hiking', 'mountains', 'beaches', 'luxury', 'rainforest', 'island', '4k travel guide', '4k', '4k travel', 'wanderlust', 'tourist attractions', 'vacation', 'goals', 'road trip', 'south america', 'europe', 'coron', 'philippines', 'maldives', 'greece', 'mykonos', 'usa', 'travel the world', 'wonderful places', 'beautiful destinations', 'live life outside', 'top 25', 'top 10', 'top 25 travel', '2022']",2022-03-20T13:00:00Z,19582,347,,33,PT22M47S,false
8,C0oh-o1pY7A,touropia,10 Best Places to Visit in Morocco - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-morocco/

Humphrey Bogart and Ingrid Bergman may have given the world Casablanca, but there is much more to see in Morocco than its largest city. This Atlantic coast country gives travelers the opportunity to experience life in an ancient Arabic culture, sunning on beaches or snow skiing in the mountains. Whether rambling through ancient medinas, sampling cuisine at a local souq or relaxing in the sun at a white-washed seaside town, the past is always present in this diverse and colorful country. Here’s a look at the best places to visit in Morocco:","['best places to visit in morocco', 'morocco places', 'morocco travel', 'top 10 morocco', 'morocco tourism', 'fez', 'fes', 'Legzira Beach', 'meknes', 'Casablanca', 'asilah', 'Chefchaouen', 'high atlas', 'Essaouira', 'Merzouga', 'Marrakech']",2019-01-03T13:18:18Z,1515476,15403,,1556,PT10M59S,true
9,9lhAp5LmZm8,Revel,Bucket List Places to See Before You Die | Top 25 Bucket List Places to Visit in the World 2022,"These Bucket List Places to See Before You Die are the top 25 Bucket List places to visit in the world!  Be sure to watch all the way to the end, as our #1 bucket list place to see before you die for your bucket list visit will definitely take you to the extreme edge of the world!  Any one of these top 25 bucket list places to visit in the world would be a good choice for your next bucket list place to see before you die.  Which must see bucket list destination is on your bucket list to visit in the world?","['bucket list places to visit in the world', 'bucket list places', 'bucket list places to visit', 'top 10 bucket list places to visit', 'bucket list ideas', 'must see travel destinations', 'top travel destinations', 'top 25 bucket list places to visit', 'top 10 bucket list 2022', 'top 25 travel destinations in the world 2022', 'places to add to your bucket list 2022', 'best bucket list places to visit', 'bucket list places in the world', 'bucket list places to see before you die', 'bucket list ideas 2022']",2020-06-26T19:30:00Z,224648,4964,,64,PT12M23S,false
